link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
419,91,1762,1,255.17,1,90,99999,connector,0,"LINESTRING (-111.96474986497144 33.32986266808334, -111.9631157 33.3317097)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.17,,,,
420,1762,91,1,255.17,1,90,99999,connector,0,"LINESTRING (-111.9631157 33.3317097, -111.96474986497144 33.32986266808334)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.17,,,,
421,92,1764,1,137.06,1,90,99999,connector,0,"LINESTRING (-111.96351544643943 33.3288142176638, -111.963121 33.3276236)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.09,,,,
422,1764,92,1,137.06,1,90,99999,connector,0,"LINESTRING (-111.963121 33.3276236, -111.96351544643943 33.3288142176638)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.09,,,,
423,95,2552,1,44.21,1,90,99999,connector,0,"LINESTRING (-111.96138809058228 33.38555814135695, -111.960916 33.3856035)",1,0,0,,0.15,4,1,0.03,55.0,55.0,0.03,,,,
424,2552,95,1,44.21,1,90,99999,connector,0,"LINESTRING (-111.960916 33.3856035, -111.96138809058228 33.38555814135695)",1,0,0,,0.15,4,1,0.03,55.0,55.0,0.03,,,,
425,96,2616,1,287.39,1,90,99999,connector,0,"LINESTRING (-111.92509964005305 33.351774315476476, -111.9257464 33.3492406)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
426,2616,96,1,287.39,1,90,99999,connector,0,"LINESTRING (-111.9257464 33.3492406, -111.92509964005305 33.351774315476476)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
427,97,428,1,274.51,1,90,99999,connector,0,"LINESTRING (-111.960320435459 33.35445386420762, -111.963161 33.3551195)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
428,428,97,1,274.51,1,90,99999,connector,0,"LINESTRING (-111.963161 33.3551195, -111.960320435459 33.35445386420762)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
429,98,439,1,37.72,1,90,99999,connector,0,"LINESTRING (-111.93722776057639 33.33253185432907, -111.9370374 33.3328321)",1,0,0,,0.15,4,1,0.02,55.0,55.0,0.03,,,,
430,439,98,1,37.72,1,90,99999,connector,0,"LINESTRING (-111.9370374 33.3328321, -111.93722776057639 33.33253185432907)",1,0,0,,0.15,4,1,0.02,55.0,55.0,0.03,,,,
431,101,2093,1,286.76,1,90,99999,connector,0,"LINESTRING (-111.88728616395798 33.42724673558456, -111.8892286 33.4292547)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
432,2093,101,1,286.76,1,90,99999,connector,0,"LINESTRING (-111.8892286 33.4292547, -111.88728616395798 33.42724673558456)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
433,102,932,1,262.81,1,90,99999,connector,0,"LINESTRING (-111.8853825230675 33.42828124101915, -111.882872 33.4293692)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.18,,,,
434,932,102,1,262.81,1,90,99999,connector,0,"LINESTRING (-111.882872 33.4293692, -111.8853825230675 33.42828124101915)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.18,,,,
435,104,1348,1,122.87,1,90,99999,connector,0,"LINESTRING (-111.92756312536378 33.39184798210228, -111.9273434 33.3929404)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.08,,,,
436,1348,104,1,122.87,1,90,99999,connector,0,"LINESTRING (-111.9273434 33.3929404, -111.92756312536378 33.39184798210228)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.08,,,,
437,105,965,1,123.35,1,90,99999,connector,0,"LINESTRING (-111.96207234304619 33.38920361844382, -111.9608818 33.3887142)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.08,,,,
438,965,105,1,123.35,1,90,99999,connector,0,"LINESTRING (-111.9608818 33.3887142, -111.96207234304619 33.38920361844382)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.08,,,,
439,107,726,1,431.29,1,90,99999,connector,0,"LINESTRING (-111.94250293011149 33.33850925917736, -111.9424826 33.3346207)",1,0,0,,0.15,4,1,0.27,55.0,55.0,0.29,,,,
440,726,107,1,431.29,1,90,99999,connector,0,"LINESTRING (-111.9424826 33.3346207, -111.94250293011149 33.33850925917736)",1,0,0,,0.15,4,1,0.27,55.0,55.0,0.29,,,,
441,108,2421,1,278.27,1,90,99999,connector,0,"LINESTRING (-111.90830818870883 33.35754287320252, -111.9112374 33.3580452)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.19,,,,
